tss_code	project_id
01	TCGA-OV
02	TCGA-GBM
04	TCGA-OV
05	TCGA-LUAD
06	TCGA-GBM
08	TCGA-GBM
09	TCGA-OV
10	TCGA-OV
12	TCGA-GBM
13	TCGA-OV
14	TCGA-GBM
15	TCGA-GBM
16	TCGA-GBM
17	TCGA-LUAD
18	TCGA-LUSC
19	TCGA-GBM
20	TCGA-OV
21	TCGA-LUSC
22	TCGA-LUSC
23	TCGA-OV
24	TCGA-OV
25	TCGA-OV
26	TCGA-GBM
27	TCGA-GBM
28	TCGA-GBM
29	TCGA-OV
2A	TCGA-PRAD
2E	TCGA-UCEC
2F	TCGA-BLCA
2G	TCGA-TGCT
2H	TCGA-ESCA
2J	TCGA-PAAD
2K	TCGA-KIRP
2L	TCGA-PAAD
2V	TCGA-LIHC
2W	TCGA-CESC
2X	TCGA-TGCT
2Y	TCGA-LIHC
2Z	TCGA-KIRP
30	TCGA-OV
31	TCGA-OV
32	TCGA-GBM
33	TCGA-LUSC
34	TCGA-LUSC
35	TCGA-LUAD
36	TCGA-OV
37	TCGA-LUSC
38	TCGA-LUAD
39	TCGA-LUSC
3A	TCGA-PAAD
3B	TCGA-SARC
3C	TCGA-BRCA
3E	TCGA-PAAD
3G	TCGA-THYM
3H	TCGA-MESO
3K	TCGA-LIHC
3L	TCGA-COAD
3M	TCGA-STAD
3N	TCGA-SKCM
3P	TCGA-OV
3Q	TCGA-THYM
3R	TCGA-SARC
3S	TCGA-THYM
3T	TCGA-THYM
3U	TCGA-MESO
3X	TCGA-CHOL
3Z	TCGA-KIRC
41	TCGA-GBM
42	TCGA-OV
43	TCGA-LUSC
44	TCGA-LUAD
46	TCGA-LUSC
49	TCGA-LUAD
4A	TCGA-KIRP
4B	TCGA-LUAD
4C	TCGA-THCA
4E	TCGA-UCEC
4G	TCGA-CHOL
4H	TCGA-BRCA
4J	TCGA-CESC
4K	TCGA-TGCT
4L	TCGA-PRAD
4N	TCGA-COAD
4P	TCGA-HNSC
4R	TCGA-LIHC
4T	TCGA-COAD
4V	TCGA-THYM
4W	TCGA-GBM
4X	TCGA-THYM
4Z	TCGA-BLCA
50	TCGA-LUAD
51	TCGA-LUSC
52	TCGA-LUSC
53	TCGA-LUAD
55	TCGA-LUAD
56	TCGA-LUSC
57	TCGA-OV
58	TCGA-LUSC
59	TCGA-OV
5A	TCGA-CHOL
5B	TCGA-UCEC
5C	TCGA-LIHC
5G	TCGA-THYM
5K	TCGA-THYM
5L	TCGA-BRCA
5M	TCGA-COAD
5N	TCGA-BLCA
5P	TCGA-KIRP
5R	TCGA-LIHC
5S	TCGA-UCEC
5T	TCGA-BRCA
5U	TCGA-THYM
5V	TCGA-THYM
5X	TCGA-OV
60	TCGA-LUSC
61	TCGA-OV
62	TCGA-LUAD
63	TCGA-LUSC
64	TCGA-LUAD
66	TCGA-LUSC
67	TCGA-LUAD
68	TCGA-LUSC
69	TCGA-LUAD
6A	TCGA-LUSC
6D	TCGA-KIRC
70	TCGA-LUSC
71	TCGA-LUAD
72	TCGA-OV
73	TCGA-LUAD
74	TCGA-GBM
75	TCGA-LUAD
76	TCGA-GBM
77	TCGA-LUSC
78	TCGA-LUAD
79	TCGA-LUSC
80	TCGA-LUAD
81	TCGA-GBM
83	TCGA-LUAD
85	TCGA-LUSC
86	TCGA-LUAD
87	TCGA-GBM
90	TCGA-LUSC
91	TCGA-LUAD
92	TCGA-LUSC
93	TCGA-LUAD
94	TCGA-LUSC
95	TCGA-LUAD
96	TCGA-LUSC
97	TCGA-LUAD
98	TCGA-LUSC
99	TCGA-LUAD
A1	TCGA-BRCA
A2	TCGA-BRCA
A3	TCGA-KIRC
A4	TCGA-KIRP
A5	TCGA-UCEC
A6	TCGA-COAD
A7	TCGA-BRCA
A8	TCGA-BRCA
AA	TCGA-COAD
AB	TCGA-LAML
AC	TCGA-BRCA
AD	TCGA-COAD
AF	TCGA-READ
AG	TCGA-READ
AH	TCGA-READ
AJ	TCGA-UCEC
AK	TCGA-KIRC
AL	TCGA-KIRP
AM	TCGA-COAD
AN	TCGA-BRCA
AO	TCGA-BRCA
AP	TCGA-UCEC
AQ	TCGA-BRCA
AR	TCGA-BRCA
AS	TCGA-KIRC
AT	TCGA-KIRP
AU	TCGA-COAD
AW	TCGA-UCEC
AX	TCGA-UCEC
AY	TCGA-COAD
AZ	TCGA-COAD
B0	TCGA-KIRC
B1	TCGA-KIRP
B2	TCGA-KIRC
B3	TCGA-KIRP
B4	TCGA-KIRC
B5	TCGA-UCEC
B6	TCGA-BRCA
B7	TCGA-STAD
B8	TCGA-KIRC
B9	TCGA-KIRP
BA	TCGA-HNSC
BB	TCGA-HNSC
BC	TCGA-LIHC
BD	TCGA-LIHC
BF	TCGA-SKCM
BG	TCGA-UCEC
BH	TCGA-BRCA
BI	TCGA-CESC
BJ	TCGA-THCA
BK	TCGA-UCEC
BL	TCGA-BLCA
BM	TCGA-READ
BP	TCGA-KIRC
BQ	TCGA-KIRP
BR	TCGA-STAD
BS	TCGA-UCEC
BT	TCGA-BLCA
BW	TCGA-LIHC
C4	TCGA-BLCA
C5	TCGA-CESC
